,precision,recall,f1-score,support
crack,0.22764227642276422,0.6222222222222222,0.3333333333333333,45.0
incomplete penetration,0.2033898305084746,0.26666666666666666,0.23076923076923078,45.0
lack of fusion,0.3018867924528302,0.17777777777777778,0.22377622377622378,90.0
lack of fusion + porosity,0.0,0.0,0.0,1.0
normal,0.7959183673469388,0.43333333333333335,0.5611510791366906,90.0
porosity,0.3148148148148148,0.38202247191011235,0.34517766497461927,89.0
porosity + slag inclusion,0.0,0.0,0.0,0.0
slag inclusion,0.2631578947368421,0.1111111111111111,0.15625,45.0
undercut,0.5526315789473685,0.4666666666666667,0.5060240963855421,45.0
accuracy,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444
macro avg,0.29549350613667036,0.27331113885421005,0.2618312920417378,450.0
weighted avg,0.40650656450709544,0.34444444444444444,0.347891598148596,450.0
